date,row_index,prediction,truth,error,ensemble_probability,w_old,w_medium,w_recent,drift_detected
2020-01-01,0,1,0,1,0.8057641595721244,0.3333,0.3333,0.3333,False
2020-01-02,1,1,0,1,0.9008205447256564,0.3333,0.3333,0.3333,False
2020-01-03,2,1,1,0,0.7847071100234986,0.3333,0.3333,0.3333,False
2020-01-06,3,1,1,0,0.7902657402455807,0.3333,0.3333,0.3333,False
2020-01-07,4,1,1,0,0.7489962935686111,0.3333,0.3333,0.3333,False
2020-01-08,5,1,1,0,0.8359058763027191,0.3333,0.3333,0.3333,False
2020-01-09,6,1,1,0,0.7085521595388651,0.3333,0.3333,0.3333,False
2020-01-10,7,1,1,0,0.7043953003048896,0.3333,0.3333,0.3333,False
2020-01-13,8,1,0,1,0.6028822221547365,0.3333,0.3333,0.3333,False
2020-01-14,9,0,0,0,0.476933887065947,0.3333,0.3333,0.3333,False
2020-01-15,10,1,0,1,0.7653823359668255,0.3333,0.3333,0.3333,False
2020-01-16,11,1,0,1,0.6850368132591247,0.3333,0.3333,0.3333,False
2020-01-17,12,1,0,1,0.7896819909989834,0.3333,0.3333,0.3333,False
2020-01-20,13,1,0,1,0.6854916902840137,0.3333,0.3333,0.3333,False
2020-01-21,14,1,0,1,0.8284885419130326,0.3333,0.3333,0.3333,False
2020-01-22,15,1,1,0,0.6898868349909781,0.3333,0.3333,0.3333,False
2020-01-23,16,1,0,1,0.8887222104728222,0.3333,0.3333,0.3333,False
2020-01-24,17,1,0,1,0.6705553163498639,0.3333,0.3333,0.3333,False
2020-01-27,18,1,0,1,0.7265050414144993,0.3333,0.3333,0.3333,False
2020-01-28,19,1,0,1,0.7720698844671249,0.3333,0.3333,0.3333,False
2020-01-29,20,1,0,1,0.6908110119223594,0.3333,0.3333,0.3333,False
2020-01-30,21,1,1,0,0.6665867343261838,0.3333,0.3333,0.3333,False
2020-01-31,22,1,1,0,0.7130985110744834,0.3333,0.3333,0.3333,False
2020-02-03,23,1,1,0,0.8177308005988597,0.3333,0.3333,0.3333,False
2020-02-04,24,0,1,1,0.4238131774485111,0.3333,0.3333,0.3333,False
2020-02-05,25,1,1,0,0.5190390761598944,0.3333,0.3333,0.3333,False
2020-02-06,26,0,1,1,0.4655899926915765,0.3333,0.3333,0.3333,False
2020-02-07,27,0,1,1,0.4106266283355653,0.3333,0.3333,0.3333,False
2020-02-10,28,0,1,1,0.4314460951790213,0.3333,0.3333,0.3333,False
2020-02-11,29,0,0,0,0.43242544062584637,0.3333,0.3333,0.3333,False
2020-02-12,30,1,0,1,0.5918027100272476,0.3333,0.3333,0.3333,False
2020-02-13,31,1,0,1,0.5351536689005791,0.3333,0.3333,0.3333,False
2020-02-14,32,0,0,0,0.3372854472097009,0.3333,0.3333,0.3333,False
2020-02-17,33,0,0,0,0.37137074804082515,0.3333,0.3333,0.3333,False
2020-02-18,34,0,0,0,0.36626914908774194,0.3333,0.3333,0.3333,False
2020-02-19,35,0,0,0,0.3502107616312802,0.3333,0.3333,0.3333,False
2020-02-20,36,0,0,0,0.38231405234187843,0.3333,0.3333,0.3333,False
2020-02-24,37,0,0,0,0.4444969480209052,0.3333,0.3333,0.3333,False
2020-02-25,38,1,0,1,0.5477861538782716,0.3333,0.3333,0.3333,False
2020-02-26,39,1,0,1,0.654281100949645,0.3333,0.3333,0.3333,False
2020-02-27,40,1,0,1,0.7220085590779781,0.3333,0.3333,0.3333,False
2020-02-28,41,1,0,1,0.5405912219122052,0.3333,0.3333,0.3333,False
2020-03-02,42,1,0,1,0.5756203436493873,0.3333,0.3333,0.3333,False
2020-03-03,43,1,0,1,0.8677263687729835,0.3333,0.3333,0.3333,False
2020-03-04,44,1,0,1,0.7442746474027633,0.3333,0.3333,0.3333,False
2020-03-05,45,1,0,1,0.7850817274868489,0.3333,0.3333,0.3333,False
2020-03-06,46,1,0,1,0.8845187152683736,0.3333,0.3333,0.3333,False
2020-03-09,47,1,0,1,0.8092904945254326,0.3333,0.3333,0.3333,False
2020-03-11,48,1,0,1,0.7213849979102611,0.3333,0.3333,0.3333,False
2020-03-12,49,1,0,1,0.8667243559598923,0.3333,0.3333,0.3333,False
2020-03-13,50,1,0,1,0.8208101851522922,0.3333,0.3333,0.3333,False
2020-03-16,51,1,0,1,0.7222172935366631,0.3333,0.3333,0.3333,False
2020-03-17,52,1,0,1,0.8367718650519848,0.3333,0.3333,0.3333,False
2020-03-18,53,1,0,1,0.7899436888217926,0.3333,0.3333,0.3333,False
2020-03-19,54,1,1,0,0.7627115599930285,0.3333,0.3333,0.3333,False
2020-03-20,55,1,0,1,0.6661130191504956,0.3333,0.3333,0.3333,False
2020-03-23,56,1,1,0,0.7255915326476097,0.3333,0.3333,0.3333,False
2020-03-24,57,1,1,0,0.7051577462732792,0.3333,0.3333,0.3333,False
2020-03-25,58,1,0,1,0.7352512178689241,0.3333,0.3333,0.3333,False
2020-03-26,59,1,0,1,0.616253415441513,0.3333,0.3333,0.3333,False
2020-03-27,60,1,1,0,0.6142031611025334,0.3333,0.3333,0.3333,False
2020-03-30,61,1,1,0,0.8027552603960036,0.3333,0.3333,0.3333,False
2020-03-31,62,1,1,0,0.5990009174376726,0.3333,0.3333,0.3333,False
2020-04-01,63,1,1,0,0.767822047841549,0.3333,0.3333,0.3333,False
2020-04-03,64,1,1,0,0.8219233296453953,0.3333,0.3333,0.3333,False
2020-04-07,65,1,1,0,0.5121516287058592,0.3333,0.3333,0.3333,False
2020-04-08,66,1,1,0,0.7125903379261493,0.3333,0.3333,0.3333,False
2020-04-09,67,1,1,0,0.6079171686708926,0.3333,0.3333,0.3333,False
2020-04-13,68,1,0,1,0.698609241503477,0.3333,0.3333,0.3333,False
2020-04-15,69,1,1,0,0.643156996589899,0.3333,0.3333,0.3333,False
2020-04-16,70,1,1,0,0.6367289804935454,0.3333,0.3333,0.3333,False
2020-04-17,71,0,0,0,0.48694430557787416,0.3333,0.3333,0.3333,False
2020-04-20,72,1,1,0,0.6749199862629175,0.3333,0.3333,0.3333,False
2020-04-21,73,1,1,0,0.5996265844255686,0.3333,0.3333,0.3333,False
2020-04-22,74,1,1,0,0.7252683091163635,0.3333,0.3333,0.3333,False
2020-04-23,75,1,1,0,0.7685523899853228,0.3333,0.3333,0.3333,False
2020-04-24,76,1,1,0,0.7206411864638328,0.3333,0.3333,0.3333,False
2020-04-27,77,1,0,1,0.7114668828606605,0.3333,0.3333,0.3333,False
2020-04-28,78,1,0,1,0.8926091571986676,0.3333,0.3333,0.3333,False
2020-04-29,79,1,0,1,0.838788307070732,0.3333,0.3333,0.3333,False
2020-04-30,80,1,0,1,0.866639010643959,0.3333,0.3333,0.3333,False
2020-05-04,81,1,0,1,0.6378282384932041,0.3333,0.3333,0.3333,False
2020-05-05,82,1,0,1,0.6331339679896831,0.3333,0.3333,0.3333,False
2020-05-06,83,1,1,0,0.6592033413872123,0.3333,0.3333,0.3333,False
2020-05-07,84,1,0,1,0.5337393350064754,0.3333,0.3333,0.3333,False
2020-05-08,85,0,0,0,0.4960860236003995,0.3333,0.3333,0.3333,False
2020-05-11,86,0,0,0,0.4008697215188295,0.3333,0.3333,0.3333,False
2020-05-12,87,0,0,0,0.40880610705837606,0.3333,0.3333,0.3333,False
2020-05-13,88,1,0,1,0.6626084377169609,0.3333,0.3333,0.3333,False
2020-05-14,89,0,0,0,0.43474944165498014,0.3333,0.3333,0.3333,False
2020-05-15,90,0,0,0,0.47469885197281836,0.3333,0.3333,0.3333,False
2020-05-18,91,0,1,1,0.49680599557310345,0.3333,0.3333,0.3333,False
2020-05-19,92,1,1,0,0.5898619359880686,0.3333,0.3333,0.3333,False
2020-05-20,93,0,1,1,0.29423786757811904,0.3333,0.3333,0.3333,False
2020-05-21,94,0,1,1,0.34317176962271334,0.3333,0.3333,0.3333,False
2020-05-22,95,0,1,1,0.41795838646441696,0.3333,0.3333,0.3333,False
2020-05-26,96,0,1,1,0.41032421219497917,0.3333,0.3333,0.3333,False
2020-05-27,97,0,1,1,0.38932446181476116,0.3333,0.3333,0.3333,False
2020-05-28,98,1,1,0,0.7250225241422652,0.3333,0.3333,0.3333,False
2020-05-29,99,1,1,0,0.8082189896464348,0.3333,0.3333,0.3333,False
2020-06-01,100,1,1,0,0.8250654318809509,0.3333,0.3333,0.3333,False
2020-06-02,101,1,1,0,0.7632898261606693,0.3333,0.3333,0.3333,False
2020-06-03,102,1,1,0,0.6900092308223247,0.3333,0.3333,0.3333,False
2020-06-04,103,1,0,1,0.5019218920022248,0.3333,0.3333,0.3333,False
2020-06-05,104,0,0,0,0.2287430966030806,0.3333,0.3333,0.3333,False
2020-06-08,105,0,0,0,0.4469005455762148,0.3333,0.3333,0.3333,False
2020-06-09,106,1,0,1,0.524937463581562,0.3333,0.3333,0.3333,False
2020-06-10,107,0,0,0,0.4676513621851801,0.3333,0.3333,0.3333,False
2020-06-11,108,1,1,0,0.6357508468866349,0.3333,0.3333,0.3333,False
2020-06-12,109,1,1,0,0.6409846245467663,0.3333,0.3333,0.3333,False
2020-06-15,110,1,1,0,0.5753002391159534,0.3333,0.3333,0.3333,False
2020-06-16,111,0,1,1,0.4227422387570143,0.3333,0.3333,0.3333,False
2020-06-17,112,1,1,0,0.6509788073837757,0.3333,0.3333,0.3333,False
2020-06-18,113,1,1,0,0.6779190715223551,0.3333,0.3333,0.3333,False
2020-06-19,114,1,1,0,0.65098347594738,0.3333,0.3333,0.3333,False
2020-06-22,115,0,1,1,0.48427311241328713,0.3333,0.3333,0.3333,False
2020-06-23,116,1,0,1,0.5022129322439431,0.3333,0.3333,0.3333,False
2020-06-24,117,1,1,0,0.6412914584398269,0.3333,0.3333,0.3333,False
2020-06-25,118,0,1,1,0.4190873047426343,0.3333,0.3333,0.3333,False
2020-06-26,119,0,1,1,0.21196434481590987,0.3333,0.3333,0.3333,False
2020-06-29,120,1,1,0,0.5847993555486203,0.3333,0.3333,0.3333,False
2020-06-30,121,1,1,0,0.6192486218199134,0.3333,0.3333,0.3333,False
2020-07-01,122,0,1,1,0.4403722894594073,0.3333,0.3333,0.3333,False
2020-07-02,123,0,1,1,0.47978390608280896,0.3333,0.3333,0.3333,False
2020-07-03,124,0,1,1,0.38392095951810473,0.3333,0.3333,0.3333,False
2020-07-06,125,0,1,1,0.4005694273397326,0.3333,0.3333,0.3333,False
2020-07-07,126,0,0,0,0.4563380667686462,0.3333,0.3333,0.3333,False
2020-07-08,127,1,0,1,0.5041665175169706,0.3333,0.3333,0.3333,False
2020-07-09,128,0,0,0,0.36398837076276536,0.3333,0.3333,0.3333,False
2020-07-10,129,1,1,0,0.5191087023228407,0.3333,0.3333,0.3333,False
2020-07-13,130,0,1,1,0.44568559163063765,0.3333,0.3333,0.3333,False
2020-07-14,131,1,1,0,0.6380833307951689,0.3333,0.3333,0.3333,False
2020-07-15,132,1,1,0,0.70086714759171,0.3333,0.3333,0.3333,False
2020-07-16,133,1,1,0,0.8312215389132499,0.3333,0.3333,0.3333,False
2020-07-17,134,1,1,0,0.613236033385992,0.3333,0.3333,0.3333,False
2020-07-20,135,0,1,1,0.40157955054044725,0.3333,0.3333,0.3333,False
2020-07-21,136,0,1,1,0.440846103966236,0.3333,0.3333,0.3333,False
2020-07-22,137,0,1,1,0.2075111981727183,0.3333,0.3333,0.3333,False
2020-07-23,138,0,0,0,0.15003737830370664,0.3333,0.3333,0.3333,False
2020-07-24,139,0,0,0,0.29738601163029665,0.3333,0.3333,0.3333,False
2020-07-27,140,0,0,0,0.402071190020442,0.3333,0.3333,0.3333,False
2020-07-28,141,0,0,0,0.11204242985621093,0.3333,0.3333,0.3333,False
2020-07-29,142,1,0,1,0.5342769201055169,0.3333,0.3333,0.3333,False
2020-07-30,143,1,1,0,0.7915295899450778,0.3333,0.3333,0.3333,False
2020-07-31,144,1,1,0,0.7496775859951973,0.3333,0.3333,0.3333,False
2020-08-03,145,1,1,0,0.630858192229271,0.3333,0.3333,0.3333,False
2020-08-04,146,1,1,0,0.5824496674865485,0.3333,0.3333,0.3333,False
2020-08-05,147,1,1,0,0.578347246684134,0.3333,0.3333,0.3333,False
2020-08-06,148,1,1,0,0.6314135600857436,0.3333,0.3333,0.3333,False
2020-08-07,149,1,0,1,0.6735475527271627,0.3333,0.3333,0.3333,False
2020-08-10,150,1,0,1,0.9059745594799519,0.3333,0.3333,0.3333,False
2020-08-11,151,1,1,0,0.7664556089401244,0.3333,0.3333,0.3333,False
2020-08-12,152,1,1,0,0.8664023045361042,0.3333,0.3333,0.3333,False
2020-08-13,153,1,1,0,0.6439123006492853,0.3333,0.3333,0.3333,False
2020-08-14,154,1,1,0,0.5464447588406502,0.3333,0.3333,0.3333,False
2020-08-17,155,1,1,0,0.7284482267171144,0.3333,0.3333,0.3333,False
2020-08-18,156,1,1,0,0.5939897607296705,0.3333,0.3333,0.3333,False
2020-08-19,157,1,1,0,0.6599645010173321,0.3333,0.3333,0.3333,False
2020-08-20,158,1,1,0,0.8088021230399608,0.3333,0.3333,0.3333,False
2020-08-21,159,1,1,0,0.6561559960931539,0.3333,0.3333,0.3333,True
2020-08-24,160,0,0,0,0.3358381093025207,0.3333,0.3333,0.3333,False
2020-08-25,161,1,0,1,0.6019631111115218,0.3333,0.3333,0.3333,False
2020-08-26,162,0,0,0,0.21853332918360827,0.3333,0.3333,0.3333,False
2020-08-27,163,0,0,0,0.45927780415490266,0.3333,0.3333,0.3333,False
2020-08-28,164,0,0,0,0.3186592032574117,0.3333,0.3333,0.3333,False
2020-08-31,165,1,0,1,0.9194895062953233,0.4412,0.5409,0.0179,False
2020-09-01,166,1,0,1,0.9086486640676856,0.4412,0.5409,0.0179,False
2020-09-02,167,1,0,1,0.7376415163367986,0.4412,0.5409,0.0179,False
